fast_ema_period,slow_ema_period,stop_loss_pct,take_profit_pct,strategy_type,phase,total_orders,total_positions,pnl_total,pnl_pct,win_rate,expectancy,max_winner,avg_winner,avg_loser,max_loser,profit_factor,sharpe,sortino,volatility
8,30,0.01,0.06,ema,IS,1460,365,69.7789,0.6978,0.2329,0.191175,53.3783,9.3998,-2.6043,-19.4282,1.2108,1.9838,3.7753,0.3837
8,30,0.01,0.04,ema,IS,1460,365,69.7789,0.6978,0.2329,0.191175,53.3783,9.3998,-2.6043,-19.4282,1.2108,1.9838,3.7753,0.3837
8,30,0.02,0.02,ema,IS,1460,365,69.7789,0.6978,0.2329,0.191175,53.3783,9.3998,-2.6043,-19.4282,1.2108,1.9838,3.7753,0.3837
8,30,0.02,0.04,ema,IS,1460,365,69.7789,0.6978,0.2329,0.191175,53.3783,9.3998,-2.6043,-19.4282,1.2108,1.9838,3.7753,0.3837
8,30,0.02,0.06,ema,IS,1460,365,69.7789,0.6978,0.2329,0.191175,53.3783,9.3998,-2.6043,-19.4282,1.2108,1.9838,3.7753,0.3837
8,30,0.03,0.02,ema,IS,1460,365,69.7789,0.6978,0.2329,0.191175,53.3783,9.3998,-2.6043,-19.4282,1.2108,1.9838,3.7753,0.3837
8,30,0.03,0.04,ema,IS,1460,365,69.7789,0.6978,0.2329,0.191175,53.3783,9.3998,-2.6043,-19.4282,1.2108,1.9838,3.7753,0.3837
8,30,0.03,0.06,ema,IS,1460,365,69.7789,0.6978,0.2329,0.191175,53.3783,9.3998,-2.6043,-19.4282,1.2108,1.9838,3.7753,0.3837
8,40,0.01,0.02,ema,IS,1264,316,-28.2247,-0.2822,0.2215,-0.089319,52.6469,9.8973,-2.931,-24.6371,1.0442,0.4063,0.7417,0.4113
8,40,0.01,0.04,ema,IS,1264,316,-28.2247,-0.2822,0.2215,-0.089319,52.6469,9.8973,-2.931,-24.6371,1.0442,0.4063,0.7417,0.4113
8,40,0.01,0.06,ema,IS,1264,316,-28.2247,-0.2822,0.2215,-0.089319,52.6469,9.8973,-2.931,-24.6371,1.0442,0.4063,0.7417,0.4113
8,40,0.02,0.02,ema,IS,1264,316,-28.2247,-0.2822,0.2215,-0.089319,52.6469,9.8973,-2.931,-24.6371,1.0442,0.4063,0.7417,0.4113
8,40,0.02,0.04,ema,IS,1264,316,-28.2247,-0.2822,0.2215,-0.089319,52.6469,9.8973,-2.931,-24.6371,1.0442,0.4063,0.7417,0.4113
8,40,0.02,0.06,ema,IS,1264,316,-28.2247,-0.2822,0.2215,-0.089319,52.6469,9.8973,-2.931,-24.6371,1.0442,0.4063,0.7417,0.4113
8,40,0.03,0.02,ema,IS,1264,316,-28.2247,-0.2822,0.2215,-0.089319,52.6469,9.8973,-2.931,-24.6371,1.0442,0.4063,0.7417,0.4113
8,40,0.03,0.04,ema,IS,1264,316,-28.2247,-0.2822,0.2215,-0.089319,52.6469,9.8973,-2.931,-24.6371,1.0442,0.4063,0.7417,0.4113
8,50,0.01,0.02,ema,IS,1112,278,-16.0383,-0.1604,0.223,-0.057692,106.5402,10.7951,-3.1729,-24.6371,1.063,0.4472,0.9696,0.521
8,40,0.03,0.06,ema,IS,1264,316,-28.2247,-0.2822,0.2215,-0.089319,52.6469,9.8973,-2.931,-24.6371,1.0442,0.4063,0.7417,0.4113
8,50,0.01,0.04,ema,IS,1112,278,-16.0383,-0.1604,0.223,-0.057692,106.5402,10.7951,-3.1729,-24.6371,1.063,0.4472,0.9696,0.521
8,50,0.01,0.06,ema,IS,1112,278,-16.0383,-0.1604,0.223,-0.057692,106.5402,10.7951,-3.1729,-24.6371,1.063,0.4472,0.9696,0.521
8,50,0.02,0.02,ema,IS,1112,278,-16.0383,-0.1604,0.223,-0.057692,106.5402,10.7951,-3.1729,-24.6371,1.063,0.4472,0.9696,0.521
8,50,0.02,0.04,ema,IS,1112,278,-16.0383,-0.1604,0.223,-0.057692,106.5402,10.7951,-3.1729,-24.6371,1.063,0.4472,0.9696,0.521
8,50,0.02,0.06,ema,IS,1112,278,-16.0383,-0.1604,0.223,-0.057692,106.5402,10.7951,-3.1729,-24.6371,1.063,0.4472,0.9696,0.521
8,50,0.03,0.02,ema,IS,1112,278,-16.0383,-0.1604,0.223,-0.057692,106.5402,10.7951,-3.1729,-24.6371,1.063,0.4472,0.9696,0.521
8,50,0.03,0.04,ema,IS,1112,278,-16.0383,-0.1604,0.223,-0.057692,106.5402,10.7951,-3.1729,-24.6371,1.063,0.4472,0.9696,0.521
8,50,0.03,0.06,ema,IS,1112,278,-16.0383,-0.1604,0.223,-0.057692,106.5402,10.7951,-3.1729,-24.6371,1.063,0.4472,0.9696,0.521
8,60,0.01,0.02,ema,IS,968,242,-12.3294,-0.1233,0.2231,-0.050948,102.6833,11.301,-3.3116,-19.4282,1.0784,0.494,1.0798,0.5373
8,60,0.01,0.04,ema,IS,968,242,-12.3294,-0.1233,0.2231,-0.050948,102.6833,11.301,-3.3116,-19.4282,1.0784,0.494,1.0798,0.5373
8,60,0.01,0.06,ema,IS,968,242,-12.3294,-0.1233,0.2231,-0.050948,102.6833,11.301,-3.3116,-19.4282,1.0784,0.494,1.0798,0.5373
8,60,0.02,0.02,ema,IS,968,242,-12.3294,-0.1233,0.2231,-0.050948,102.6833,11.301,-3.3116,-19.4282,1.0784,0.494,1.0798,0.5373
8,60,0.02,0.04,ema,IS,968,242,-12.3294,-0.1233,0.2231,-0.050948,102.6833,11.301,-3.3116,-19.4282,1.0784,0.494,1.0798,0.5373
8,60,0.02,0.06,ema,IS,968,242,-12.3294,-0.1233,0.2231,-0.050948,102.6833,11.301,-3.3116,-19.4282,1.0784,0.494,1.0798,0.5373
8,60,0.03,0.02,ema,IS,968,242,-12.3294,-0.1233,0.2231,-0.050948,102.6833,11.301,-3.3116,-19.4282,1.0784,0.494,1.0798,0.5373
8,60,0.03,0.04,ema,IS,968,242,-12.3294,-0.1233,0.2231,-0.050948,102.6833,11.301,-3.3116,-19.4282,1.0784,0.494,1.0798,0.5373
8,60,0.03,0.06,ema,IS,968,242,-12.3294,-0.1233,0.2231,-0.050948,102.6833,11.301,-3.3116,-19.4282,1.0784,0.494,1.0798,0.5373
8,100,0.01,0.02,ema,IS,784,196,-45.7756,-0.4578,0.1786,-0.233549,90.8365,15.0071,-3.5467,-24.1239,0.9913,-0.0594,-0.1117,0.5055
8,100,0.01,0.04,ema,IS,784,196,-45.7756,-0.4578,0.1786,-0.233549,90.8365,15.0071,-3.5467,-24.1239,0.9913,-0.0594,-0.1117,0.5055
8,100,0.01,0.06,ema,IS,784,196,-45.7756,-0.4578,0.1786,-0.233549,90.8365,15.0071,-3.5467,-24.1239,0.9913,-0.0594,-0.1117,0.5055
